start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,5.1780786,0,155,#C C is touching spices on chopping board
5.1780786,7.4174986,155,222,#C C touches a container in a sink
7.4174986,17.0339686,222,510,#C C touches the spices on chopping board
17.0339686,18.728108600000002,510,561,#C C washes hands
18.728108600000002,21.8547486,561,655,#C C takes a packet from a surface
21.8547486,25.0914386,655,752,#C C opens a microwave
25.0914386,26.6794586,752,800,#C C places the packet in microwave
26.6794586,27.737298600000003,800,831,#C C closes the microwave
27.737298600000003,29.0858786,831,872,#C C sets the microwave
29.0858786,30.2131586,872,906,#C C opens a plastic container on a surface
30.2131586,31.138008600000003,906,934,#C C takes a tomato
31.138008600000003,33.7558586,934,1012,#C C takes a container from surface
33.7558586,34.7527386,1012,1042,#C C places the container down
34.7527386,36.2004386,1042,1085,#C C washes the tomato
36.2004386,38.1206286,1085,1143,#C C closes the tap
38.1206286,39.3699486,1143,1180,#C C takes a knife
39.3699486,40.4219586,1180,1212,#C C clears the chopping board surface
40.4219586,64.07039859999999,1212,1921,#C C cuts the tomato
64.07039859999999,66.41961859999999,1921,1992,#C C arranges the slices
66.41961859999999,77.9343086,1992,2337,#C C cuts the tomato into slices
77.9343086,79.03100859999999,2337,2370,#C C puts a remnant tomato piece aside
79.03100859999999,81.89409859999999,2370,2456,#C C places the knife on surface
81.89409859999999,83.0037686,2456,2489,#C C opens a tap
83.0037686,83.9112486,2489,2517,#C C rinses hands
83.9112486,84.5321086,2517,2535,#C C closes the tap
84.5321086,87.01210859999999,2535,2610,#C C touches #unsure
87.01210859999999,87.8675086,2610,2635,#C C takes a towel
87.8675086,88.55638859999999,2635,2656,#C C wipes hands with towel
88.55638859999999,89.99737859999999,2656,2699,#C C drops the towel on a surface
89.99737859999999,92.00449859999999,2699,2760,#C C walks in the kitchen
92.00449859999999,95.4433586,2760,2863,#C C takes a plate from shelf
95.4433586,96.4687886,2863,2893,#C C places the plate on sink
96.4687886,98.28108859999999,2893,2948,#C C takes spices
98.28108859999999,101.4757786,2948,3044,#C C places the spices in plate
101.4757786,104.68563859999999,3044,3140,#C C takes more spices
104.68563859999999,107.7283186,3140,3231,#C C places the spices in plate
107.7283186,108.9428686,3231,3268,#C C takes more spices
108.9428686,111.3768886,3268,3341,#C C places the spices in plate
111.3768886,112.65828859999999,3341,3379,#C C takes container of pepper
112.65828859999999,113.88343859999999,3379,3416,#C C takes pepper from the container
113.88343859999999,114.7912386,3416,3443,#C C puts pepper in plate
114.7912386,116.2229186,3443,3486,#C C takes more pepper from the container
116.2229186,117.96281859999999,3486,3538,#C C puts pepper in plate
117.96281859999999,119.0576086,3538,3571,#C C puts the container in sink
119.0576086,119.9833486,3571,3599,#C C takes the plate of spices
119.9833486,121.7903786,3599,3653,#C C puts the plate to the furthest right
121.7903786,125.10500859999999,3653,3753,#C C opens tap
125.10500859999999,125.90174859999999,3753,3776,#C C opens the microwave
125.90174859999999,126.9592886,3776,3808,#C C takes a packet from microwave
126.9592886,127.0711786,3808,3812,#C C closes the microwave
127.0711786,128.2645986,3812,3847,#C C drops the packet on surface
128.2645986,130.2757086,3847,3908,#C C wags hands in air
130.2757086,133.3219086,3908,3999,#C C opens a container
133.3219086,134.2053086,3999,4026,#C C takes container into hands
134.2053086,137.3330886,4026,4119,#C C touches #unsure
137.3330886,141.6091186,4119,4248,#C C reaches for a scooping spoon
141.6091186,145.0006786,4248,4349,#C C scoops rice from the container
145.0006786,148.5814486,4349,4457,#C C places rice into a container
148.5814486,149.7763986,4457,4493,#C C scoops rice from the container
149.7763986,152.2031486,4493,4565,#C C places rice into a container
152.2031486,154.2433486,4565,4627,#C C mixes the rice in the container with #unsure
154.2433486,155.2265186,4627,4656,#C C places the scooping spoon on chopping board
155.2265186,156.0179986,4656,4680,#C C takes the container lead
156.0179986,161.6591286,4680,4849,#C C closes the container
161.6591286,163.5851586,4849,4907,#C C opens a fridge
163.5851586,166.3170486,4907,4989,#C C places the container in the fridge
166.3170486,167.7509186,4989,5032,#C C closes the fridge
167.7509186,168.4520686,5032,5053,#C C walks in the kitchen
168.4520686,170.86456859999998,5053,5125,#C C grabs a bowls
170.86456859999998,172.8841586,5125,5186,#C C takes another bowl and returns the first bowl
172.8841586,175.2357886,5186,5256,#C C places the bowl on the sink
175.2357886,177.1402886,5256,5314,#C C takes a scooping spoon
177.1402886,179.6220086,5314,5388,#C C scoops the mixture from a container
179.6220086,181.2253686,5388,5436,#C C places the mixture into bowl
181.2253686,183.8529586,5436,5515,#C C scoops the mixture from a container
183.8529586,186.8405986,5515,5605,#C C places the mixture into bowl
186.8405986,187.6638886,5605,5629,#C C scoops the mixture from a container
187.6638886,188.6729786,5629,5660,#C C places the mixture into bowl
188.6729786,191.43655859999998,5660,5742,#C C places the container and spoon on surface
191.43655859999998,192.4497286,5742,5773,#C C takes the packet
192.4497286,198.4632086,5773,5953,#C C tears the packet
198.4632086,200.1807486,5953,6005,#C C opens the packet
200.1807486,213.51526859999998,6005,6405,#C C pours the content in plate
213.51526859999998,218.7321686,6405,6561,#C C clears the packet
218.7321686,220.4259186,6561,6612,#C C opens tap
220.4259186,223.2117586,6612,6696,#C C washes a bowl
223.2117586,227.56325859999998,6696,6826,#C C washes a bowl with sponge
227.56325859999998,229.6677786,6826,6889,#C C rinses the bowl
229.6677786,230.5490586,6889,6916,#C C places the bowl on rack
230.5490586,233.45965859999998,6916,7003,#C C washes a plastic
233.45965859999998,236.2738886,7003,7088,#C C puts the plastic on the rack
236.2738886,244.1552786,7088,7324,#C C washes another plastic
244.1552786,252.17857859999998,7324,7565,#C C puts the plastic on the rack
252.17857859999998,252.74779859999998,7565,7582,#C C picks a plastic lead
252.74779859999998,257.56336860000005,7582,7726,#C C puts the plastic on the rack
257.56336860000005,259.2327986,7726,7776,#C C rinses hands
259.2327986,260.8230186,7776,7824,#C C washes a knife
260.8230186,262.45275860000004,7824,7873,#C C puts the knife on rack
262.45275860000004,264.40878860000004,7873,7932,#C C take #unsure from the chopping board
264.40878860000004,267.6852786,7932,8030,#C C washes the #unsure
267.6852786,267.99170860000004,8030,8039,#C C places #unsure on rack
267.99170860000004,269.4029386,8039,8081,#C C takes a scooping spoon
269.4029386,274.3206386,8081,8229,#C C washes the spoons
274.3206386,275.10675860000003,8229,8253,#C C takes a plastic lead
275.10675860000003,276.54943860000003,8253,8296,#C C puts the spoons on rack
276.54943860000003,282.52804860000003,8296,8475,#C C washes the lead
282.52804860000003,282.5480486,8475,8476,#C C takes a plastic from the sink
282.5480486,285.5774586,8476,8567,#C C places the lead on rack
285.5774586,288.01525860000004,8567,8640,#C C washes the container
288.01525860000004,288.9571986,8640,8668,#C C washes the the container with sponge
288.9571986,289.6963286,8668,8690,#C C places the sponge in the sink
289.6963286,290.0875886,8690,8702,#C C takes another container
290.0875886,290.92616860000004,8702,8727,#C C rinses the container
290.92616860000004,292.39295860000004,8727,8771,#C C takes a polythene packet
292.39295860000004,292.8743486,8771,8786,#C C washes the polythene packet
292.8743486,294.5306286,8786,8835,#C C touches a container in the sink
294.5306286,296.1656886,8835,8884,#C C pours water out of the polythene packet
296.1656886,297.6230886,8884,8928,#C C reshapes the polythene packet
297.6230886,298.4717286,8928,8954,#C C places the polythene packet in the sink
298.4717286,299.68748860000005,8954,8990,#C C closes the tap
299.68748860000005,301.15351860000004,8990,9034,#C C touches a flask
301.15351860000004,301.9687086,9034,9058,#C C takes a towel
301.9687086,303.8556886,9058,9115,#C C dries her hands
303.8556886,304.9710486,9115,9149,#C C drops the towel
304.9710486,306.71835860000004,9149,9201,#C C fetches cut tomatoes in chopping board
306.71835860000004,306.7383586,9201,9202,#C C arranges the tomatoes in plate
306.7383586,308.9031986,9202,9266,#C C fetches cut tomatoes in chopping board
308.9031986,308.92319860000003,9266,9267,#C C arranges the tomatoes in plate
308.92319860000003,310.84959860000004,9267,9325,#C C fetches cut tomatoes in chopping board
310.84959860000004,312.0645386,9325,9361,#C C arranges the tomatoes in plate
312.0645386,313.33964860000003,9361,9400,#C C fetches cut tomatoes in chopping board
313.33964860000003,320.8237186,9400,9624,#C C arranges the tomatoes in plate
320.8237186,323.1585686,9624,9694,#C C takes the chopping board
323.1585686,324.8173386,9694,9744,#C C puts the chopping board in the sink
